,Strain,Type,Rating,Effects
61,Alaska,sativa,4.6,"Relaxed,Sleepy,Euphoric,Focused,Happy"
62,Alaska-Thunder-Grape,hybrid,5.0,"Tingly,Uplifted,Creative,Euphoric,Focused"
63,Alaskan-Ice,sativa,4.4,"Euphoric,Uplifted,Happy,Relaxed,Energetic"
64,Alaskan-Thunder-Fuck,sativa,4.4,"Happy,Euphoric,Relaxed,Uplifted,Energetic"
65,Albert-Walker,hybrid,4.7,"Relaxed,Euphoric,Happy,Uplifted,Hungry"
66,Alchemy,hybrid,4.8,"Relaxed,Sleepy,Uplifted,Hungry,Tingly"
67,Alf,hybrid,5.0,"Relaxed,Creative,Euphoric,Giggly,Happy"
68,Alice-In-Wonderland,sativa,4.5,"Focused,Euphoric,Happy,Uplifted,Relaxed"
69,Alien-Abduction,hybrid,3.8,"Happy,Relaxed,Focused,Uplifted,Creative"
70,Alien-Apparition,hybrid,4.0,"Hungry,Energetic,Euphoric,Aroused,Tingly"
71,Alien-Asshat,hybrid,4.8,"Euphoric,Creative,Giggly,Relaxed,Happy"
72,Alien-Bubba,indica,5.0,"Relaxed,Sleepy,Euphoric,Happy,Uplifted"
73,Alien-Dawg,indica,4.3,"Relaxed,Sleepy,Happy,Euphoric,Uplifted"
74,Alien-Dutchess,sativa,4.2,"Euphoric,Relaxed,Uplifted,Focused,Happy"
75,Alien-Hallucination,hybrid,4.1,"Happy,Relaxed,Giggly,Aroused,Hungry"
76,Alien-Inferno,hybrid,4.8,"Happy,Talkative,Euphoric,Uplifted,Energetic"
77,Alien-Kush,indica,4.2,"Relaxed,Euphoric,Happy,Tingly,Uplifted"
78,Alien-Og,hybrid,4.5,"Relaxed,Happy,Euphoric,Uplifted,Creative"
79,Alien-Reunion,hybrid,4.9,"Euphoric,Uplifted,Happy,Relaxed,Talkative"
80,Alien-Rift,indica,4.6,"Relaxed,Happy,Euphoric,Uplifted,Hungry"
81,Alien-Rock-Candy,hybrid,4.7,"Relaxed,Happy,Euphoric,Sleepy,Tingly"
82,Alien-Sour-Apple,hybrid,4.6,"Euphoric,Relaxed,Uplifted,Creative,Happy"
83,Alien-Stardawg,sativa,4.4,"Uplifted,Happy,Euphoric,Creative,Tingly"
84,Alien-Technology,indica,4.5,"Happy,Relaxed,Uplifted,Euphoric,Focused"
85,Aliens-On-Moonshine,indica,4.5,"Relaxed,Happy,Talkative,Uplifted,Giggly"
86,Allen-Iverson-Og,indica,5.0,"Uplifted,Euphoric,Happy,Relaxed"
87,Allen-Wrench,sativa,4.3,"Happy,Uplifted,Focused,Energetic,Hungry"
88,Allkush,indica,5.0,"Relaxed,Sleepy,Uplifted,Happy"
89,Aloha,sativa,4.2,"Energetic,Uplifted,Happy,Creative,Focused"
90,Aloha-Grape-Stomper,hybrid,5.0,"Tingly,Uplifted,Euphoric,Giggly,Happy"
91,Aloha-Limone,hybrid,4.8,"Euphoric,Creative,Energetic,Talkative,Uplifted"
92,Alohaberry,hybrid,4.2,"Energetic,Uplifted,Aroused,Tingly,Relaxed"
93,Alpha-Blue,sativa,4.5,"Energetic,Happy,Euphoric,Relaxed,Talkative"
94,Alpha-Cow,sativa,5.0,None
95,Alpha-Express,sativa,4.7,"Energetic,Focused,Talkative,Happy,Relaxed"
96,Alpha-Og,hybrid,4.6,"Relaxed,Focused,Happy,Euphoric,Sleepy"
97,Alpine-Blue,hybrid,5.0,"Uplifted,Creative,Energetic,Aroused,Euphoric"
98,Alpine-Star,indica,4.2,"Relaxed,Uplifted,Happy,Euphoric,Tingly"
99,Ambrosia,hybrid,4.4,"Uplifted,Euphoric,Relaxed,Creative,Focused"
100,American-Dream,hybrid,4.7,"Focused,Euphoric,Tingly,Energetic,Relaxed"
101,American-Kush,indica,4.8,"Relaxed,Tingly,Sleepy,Uplifted,Happy"
102,Americano,indica,4.6,"Relaxed,Creative,Focused,Euphoric,Aroused"
103,Amethyst,hybrid,3.9,"Energetic,Creative,Giggly,Hungry,Happy"
104,Amethyst-Bud,hybrid,4.2,"Uplifted,Happy,Relaxed,Focused,Energetic"
105,Amnesia,sativa,4.3,"Happy,Euphoric,Energetic,Creative,Uplifted"
106,Amnesia-Ganja-Haze,sativa,5.0,None
107,Amnesia-Haze,sativa,4.3,"Happy,Euphoric,Uplifted,Energetic,Creative"
108,Ancient-Kush,indica,4.6,"Sleepy,Relaxed,Aroused,Creative,Energetic"
109,Ancient-Og,indica,4.6,"Relaxed,Euphoric,Sleepy,Happy,Hungry"
110,Anesthesia,indica,4.1,"Hungry,Sleepy,Relaxed,Happy,Euphoric"
111,Angel-Og,indica,5.0,"Happy,Relaxed,Uplifted,Sleepy,Euphoric"
112,Animal-Cookies,hybrid,4.5,"Relaxed,Happy,Euphoric,Creative,Uplifted"
113,Anonymous-Og,indica,5.0,"Relaxed,Sleepy,Happy,Euphoric,Hungry"
114,Anubis,indica,5.0,"Relaxed,Sleepy,Creative,Focused,Aroused"
115,Ape-Shit,hybrid,5.0,"Happy,Relaxed,Uplifted,Giggly,Talkative"
116,Apollo-11,hybrid,4.4,"Uplifted,Happy,Euphoric,Relaxed,Creative"
117,Apollo-13,hybrid,4.4,"Happy,Euphoric,Energetic,Uplifted,Creative"
118,Appalachia,hybrid,4.8,"Relaxed,Euphoric,Happy,Creative,Giggly"
119,Appalachian-Power,sativa,4.3,"Euphoric,Creative,Focused,Talkative,Uplifted"
120,Apple-Jack,hybrid,3.6,"Happy,Relaxed,Focused,Energetic,Tingly"
121,Apple-Kush,hybrid,4.6,"Relaxed,Euphoric,Uplifted,Happy,Tingly"
122,Appleberry,indica,4.6,"Relaxed,Happy,Sleepy,Hungry,Euphoric"
123,Arabian-Gold,sativa,4.1,"Euphoric,Tingly,Giggly,Sleepy,Creative"
124,Arctic-Sun,hybrid,4.3,"Creative,Relaxed,Energetic,Euphoric,Focused"
125,Arcticblue,hybrid,4.8,"Happy,Uplifted,Euphoric,Energetic,Relaxed"
126,Area-51,hybrid,4.4,"Happy,Uplifted,Relaxed,Euphoric,Creative"
127,Argyle,indica,3.9,"Happy,Uplifted,Relaxed,Sleepy,Focused"
128,Arjans-Strawberry-Haze,sativa,4.3,"Happy,Uplifted,Talkative,Relaxed,Creative"
129,Arjans-Ultra-Haze-1,sativa,4.8,"Euphoric,Focused,Energetic,Relaxed,Creative"
130,Armageddon,hybrid,4.0,"Uplifted,Giggly,Happy,Relaxed,Talkative"
131,Armagnac,hybrid,4.2,"Relaxed,Sleepy,Talkative,Giggly,Happy"
132,Ash,hybrid,4.5,"Relaxed,Happy,Uplifted,Euphoric,Sleepy"
133,Asian-Fantasy,sativa,4.4,"Euphoric,Hungry,Happy,Relaxed,Talkative"
134,Aspen-Og,hybrid,4.1,"Focused,Happy,Energetic,Relaxed,Talkative"
135,Astroboy,sativa,4.5,"Relaxed,Energetic,Happy,Creative,Focused"
136,Athabasca,indica,4.6,"Talkative,Uplifted,Happy,Relaxed,Giggly"
137,Atmosphere,hybrid,4.8,"Uplifted,Euphoric,Relaxed,Happy,Tingly"
138,Atomic,hybrid,4.5,"Happy,Relaxed,Talkative,Creative,Euphoric"
139,Atomic-Goat,hybrid,4.8,"Relaxed,Uplifted,Giggly,Tingly,Happy"
140,Atomic-Northern-Lights,hybrid,4.2,"Talkative,Uplifted,Hungry,Tingly,Focused"
141,Atomical-Haze,sativa,4.4,"Happy,Relaxed,Energetic,Uplifted,Creative"
142,Aurora-Borealis,indica,4.2,"Happy,Euphoric,Relaxed,Sleepy,Hungry"
143,Aurora-Indica,indica,4.4,"Relaxed,Sleepy,Happy,Euphoric,Uplifted"
144,Avalon,hybrid,3.6,"Aroused,Tingly,Hungry,Uplifted,Giggly"
145,Avi,hybrid,3.0,"Relaxed,Focused,Uplifted,Creative,Happy"
146,Avi-Dekel,hybrid,4.5,"Relaxed,Uplifted,Happy,Focused,Energetic"
147,Ayahuasca-Purple,indica,4.4,"Relaxed,Euphoric,Sleepy,Happy,Tingly"
148,Azure-Haze,hybrid,4.4,"Relaxed,Uplifted,Focused,Euphoric,Happy"
149,B-52,indica,4.1,"Relaxed,Happy,Giggly,Focused,Uplifted"
150,B-Witched,hybrid,5.0,"Euphoric,Relaxed,Happy,Hungry,Sleepy"
151,B-Witched,hybrid,5.0,"Euphoric,Relaxed,Happy,Hungry,Sleepy"
152,Bb-King,indica,3.8,"Sleepy,Happy,Relaxed,Uplifted,Creative"
153,B4,hybrid,4.5,"Happy,Uplifted,Euphoric,Focused,Relaxed"
154,Bc-Big-Bud,hybrid,4.5,"Relaxed,Euphoric,Happy,Creative,Sleepy"
155,Bc-Roadkill,hybrid,4.5,"Euphoric,Uplifted,Happy,Giggly,Relaxed"
156,Bc-Sweet-Tooth,indica,4.3,"Uplifted,Happy,Relaxed,Sleepy,Euphoric"
157,Bcn-Diesel,hybrid,5.0,"Sleepy,Focused,Happy,Hungry"
158,Bog-Bubble,hybrid,4.4,"Uplifted,Happy,Relaxed,Creative,Hungry"
159,Bsc,hybrid,4.5,"Relaxed,Happy,Hungry,Euphoric,Giggly"
160,Bad-Azz-Kush,hybrid,5.0,None
161,Bakerstreet,indica,3.7,"Euphoric,Relaxed,Giggly,Happy,Sleepy"
162,Balmoral,hybrid,4.2,"Relaxed,Happy,Uplifted,Focused,Talkative"
163,Banana-Candy,indica,4.2,"Relaxed,Euphoric,Uplifted,Creative,Happy"
164,Banana-Cream-Og,hybrid,4.8,"Relaxed,Creative,Tingly,Uplifted,Focused"
165,Banana-Diesel,hybrid,4.4,"Happy,Uplifted,Euphoric,Relaxed,Giggly"
166,Banana-Kush,hybrid,4.3,"Happy,Relaxed,Euphoric,Uplifted,Talkative"
167,Banana-Og,hybrid,4.4,"Relaxed,Happy,Hungry,Euphoric,Sleepy"
168,Banana-Peel,hybrid,4.7,"Relaxed,Euphoric,Uplifted,Happy,Sleepy"
169,Bananas,hybrid,4.5,"Relaxed,Energetic,Happy,Uplifted,Focused"
170,Bandana,hybrid,4.2,"Euphoric,Happy,Relaxed,Talkative,Creative"
171,Bangi-Haze,sativa,0.0,"Aroused,Uplifted,Euphoric,Hungry"
172,Bango,hybrid,4.7,"Uplifted,Creative,Energetic,Euphoric,Focused"
173,Barbara-Bud,indica,3.6,"Relaxed,Euphoric,Happy,Hungry,Uplifted"
174,Batgirl,hybrid,5.0,"Euphoric,Relaxed"
175,Batman-Og,indica,4.4,"Sleepy,Hungry,Happy,Relaxed,Giggly"
176,Bay-11,sativa,4.5,"Happy,Relaxed,Uplifted,Energetic,Creative"
177,Bay-Dream,sativa,4.3,"Relaxed,Happy,Euphoric,Uplifted,Focused"
178,Bear-Dance,hybrid,4.8,"Uplifted,Euphoric,Giggly,Happy,Energetic"
179,Beast-Mode-20,indica,4.5,"Relaxed,Sleepy,Tingly,Happy,Euphoric"
180,Beast-Mode-Og,hybrid,4.4,"Relaxed,Euphoric,Uplifted,Talkative,Happy"
181,Bedford-Glue,hybrid,5.0,"Happy,Uplifted,Euphoric,Giggly,Relaxed"
182,Bedica,indica,4.3,"Relaxed,Sleepy,Hungry,Focused,Euphoric"
183,Bediol,sativa,4.7,"Relaxed,Talkative,Happy,Focused,Uplifted"
184,Bell-Ringer,indica,5.0,"Relaxed,Sleepy,Euphoric,Hungry,Happy"
185,Belladonna,hybrid,4.0,"Happy,Sleepy,Giggly,Euphoric,Uplifted"
186,Berkeley,sativa,4.3,"Talkative,Happy,Uplifted,Energetic,Focused"
187,Bermuda-Sour,hybrid,0.0,None
188,Berry-Bomb,hybrid,4.2,"Relaxed,Happy,Euphoric,Tingly,Sleepy"
189,Berry-Larry,hybrid,4.8,"Relaxed,Uplifted,Creative,Euphoric,Talkative"
190,Berry-Noir,indica,4.4,"Relaxed,Euphoric,Sleepy,Happy,Hungry"
191,Berry-Og,hybrid,4.3,"Happy,Relaxed,Uplifted,Euphoric,Sleepy"
192,Berry-White,indica,4.4,"Relaxed,Euphoric,Happy,Uplifted,Sleepy"
193,Berts-Cookie-Dough,hybrid,5.0,"Uplifted,Energetic,Happy,Hungry"
194,Bertberry-Cheesecake,sativa,5.0,"Uplifted,Creative,Euphoric,Focused,Energetic"
195,Bettie-Page,hybrid,4.2,"Creative,Uplifted,Energetic,Euphoric,Relaxed"
196,Bianca,hybrid,4.2,"Relaxed,Sleepy,Euphoric,Focused,Creative"
197,Biddy-Early,hybrid,4.2,"Creative,Euphoric,Focused,Uplifted,Energetic"
198,Big-Band,hybrid,4.6,"Relaxed,Happy,Euphoric,Hungry,Talkative"
199,Big-Bang,indica,4.1,"Relaxed,Sleepy,Happy,Euphoric,Aroused"
200,Big-Bud,indica,3.9,"Relaxed,Euphoric,Sleepy,Happy,Tingly"
201,Big-Budda-Cheese,hybrid,4.2,"Happy,Relaxed,Euphoric,Uplifted,Giggly"
202,Big-Holy-Nina,hybrid,4.0,"Talkative,Uplifted,Euphoric,Happy,Relaxed"
203,Big-Kush,hybrid,4.7,"Uplifted,Relaxed,Euphoric,Creative,Focused"
204,Big-Mac,indica,5.0,"Relaxed,Aroused,Sleepy,Talkative,Tingly"
205,Big-Skunk-Korean,hybrid,4.0,"Talkative,Uplifted,Creative,Energetic,Hungry"
206,Big-Sky-Og,hybrid,4.7,"Relaxed,Tingly,Uplifted,Hungry,Sleepy"
207,Big-Smooth,hybrid,5.0,"Happy,Relaxed,Giggly,Uplifted,Aroused"
208,Big-Sur-Holy-Bud,sativa,4.0,"Relaxed,Uplifted,Focused,Euphoric,Energetic"
209,Big-White,indica,4.2,"Relaxed,Uplifted,Happy,Sleepy,Euphoric"
210,Big-Wreck,indica,4.1,"Relaxed,Tingly,Euphoric,Happy,Uplifted"
211,Biker-Leblanc,hybrid,4.5,"Relaxed,Focused,Energetic,Euphoric,Aroused"
212,Bio-Diesel,hybrid,4.4,"Euphoric,Happy,Relaxed,Energetic,Uplifted"
213,Bio-Jesus,hybrid,4.6,"Happy,Relaxed,Euphoric,Sleepy,Uplifted"
214,Biochem,indica,4.4,"Relaxed,Euphoric,Tingly,Sleepy,Happy"
215,Birds-Eye,sativa,5.0,"Happy,Uplifted,Energetic,Euphoric,Relaxed"
216,Birthday-Cake-Kush,hybrid,4.5,"Relaxed,Happy,Euphoric,Uplifted,Sleepy"
217,Black-84,indica,4.5,"Relaxed,Sleepy,Happy,Hungry,Euphoric"
218,Black-Afghan,indica,4.6,"Relaxed,Sleepy,Hungry,Happy,Euphoric"
219,Black-Betty,hybrid,4.5,"Euphoric,Relaxed,Happy,Uplifted,Energetic"
220,Black-Bubba,indica,4.5,"Happy,Relaxed,Sleepy,Tingly,Euphoric"
221,Black-Cherry-Cheesecake,hybrid,4.5,"Creative,Relaxed,Euphoric,Hungry,Uplifted"
222,Black-Cherry-Og,indica,4.4,"Relaxed,Uplifted,Happy,Giggly,Euphoric"
223,Black-Cherry-Pie,hybrid,5.0,"Relaxed,Uplifted,Creative,Euphoric,Happy"
224,Black-Cherry-Soda,hybrid,4.3,"Relaxed,Happy,Euphoric,Hungry,Uplifted"
225,Black-Dhalia,hybrid,4.0,"Relaxed,Happy,Sleepy,Euphoric,Tingly"
226,Black-Diamond,indica,4.4,"Relaxed,Happy,Euphoric,Uplifted,Hungry"
227,Black-Diesel,sativa,4.1,"Relaxed,Happy,Hungry,Talkative,Euphoric"
228,Black-Domina,indica,4.2,"Relaxed,Euphoric,Happy,Sleepy,Uplifted"
229,Black-Haze,hybrid,4.4,"Relaxed,Euphoric,Happy,Uplifted,Focused"
230,Black-Ice,indica,4.1,"Relaxed,Sleepy,Happy,Hungry,Tingly"
231,Black-Jack,hybrid,4.4,"Relaxed,Happy,Euphoric,Uplifted,Talkative"
232,Black-Label-Kush,indica,4.1,"Euphoric,Relaxed,Sleepy,Uplifted,Focused"
233,Black-Larry-Bird,indica,4.0,"Tingly,Uplifted,Creative,Euphoric,Focused"
234,Black-Lime-Special-Reserve,indica,4.5,"Relaxed,Happy,Euphoric,Tingly,Sleepy"
235,Black-Magic,hybrid,4.0,"Happy,Relaxed,Uplifted,Euphoric"
236,Black-Magic-Kush,indica,4.2,"Happy,Relaxed,Sleepy,Hungry,Talkative"
237,Black-Mamba,indica,4.6,"Happy,Relaxed,Euphoric,Uplifted,Talkative"
238,Black-Roses,indica,4.0,"Relaxed,Sleepy,Uplifted,Euphoric,Focused"
239,Black-Russian,indica,4.3,"Relaxed,Sleepy,Uplifted,Happy,Hungry"
240,Black-Tuna,hybrid,4.5,"Relaxed,Happy,Sleepy,Euphoric,Hungry"
241,Black-Velvet,hybrid,3.9,"Sleepy,Happy,Hungry,Relaxed,Euphoric"
242,Black-Widow,hybrid,4.1,"Happy,Relaxed,Euphoric,Sleepy,Uplifted"
243,Blackberry,hybrid,4.2,"Relaxed,Euphoric,Happy,Uplifted,Sleepy"
244,Blackberry-Bubble,indica,4.7,"Relaxed,Happy,Euphoric,Uplifted,Creative"
245,Blackberry-Chem-Og,hybrid,4.3,"Talkative,Creative,Focused,Relaxed,Euphoric"
246,Blackberry-Cream,indica,4.8,"Relaxed,Happy,Uplifted,Sleepy,Euphoric"
247,Blackberry-Diesel,sativa,4.1,"Happy,Energetic,Relaxed,Euphoric,Talkative"
248,Blackberry-Dream,hybrid,4.2,"Happy,Energetic,Uplifted,Relaxed,Talkative"
249,Blackberry-Fire,hybrid,5.0,"Creative,Happy"
250,Blackberry-Hashplant,indica,3.7,"Euphoric,Sleepy,Uplifted,Energetic,Happy"
251,Blackberry-Haze,sativa,4.5,"Happy,Relaxed,Uplifted,Hungry,Focused"
252,Blackberry-Kush,indica,4.3,"Relaxed,Sleepy,Happy,Euphoric,Hungry"
253,Blackberry-Lime-Haze,sativa,4.7,"Happy,Uplifted,Euphoric,Talkative,Focused"
254,Blackberry-Pie,hybrid,4.7,"Euphoric,Creative,Hungry,Relaxed,Happy"
255,Blackberry-Rhino,indica,4.3,"Relaxed,Happy,Creative,Hungry,Sleepy"
256,Blackberry-Trainwreck,hybrid,4.3,"Relaxed,Euphoric,Happy,Uplifted,Energetic"
257,Blackberry-X-Blueberry,indica,4.3,"Relaxed,Happy,Uplifted,Euphoric,Creative"
258,Blackwater,indica,4.6,"Relaxed,Sleepy,Euphoric,Happy,Hungry"
259,Blaze,sativa,4.3,"Euphoric,Energetic,Talkative,Creative,Aroused"
260,Blissful-Wizard,hybrid,4.8,"Happy,Talkative,Euphoric,Relaxed,Uplifted"
261,Blizzard-Bush,hybrid,0.0,None
262,Blob-Og,hybrid,4.7,"Euphoric,Talkative,Uplifted,Creative,Happy"
263,Blockhead,hybrid,4.2,"Relaxed,Happy,Hungry,Uplifted,Euphoric"
264,Bloos-Kloos,indica,4.6,"Creative,Relaxed,Happy,Euphoric,Focused"
265,Blood-Orange-Kush,indica,5.0,"Sleepy,Uplifted,Euphoric,Happy,Creative"
266,Bloodhound,hybrid,4.2,"Happy,Relaxed,Focused,Talkative,Euphoric"
267,Blowfish,hybrid,4.2,"Relaxed,Uplifted,Happy,Euphoric,Tingly"
268,Blucifer,sativa,4.3,"Happy,Uplifted,Relaxed,Talkative,Focused"
269,Blue-Afghani,indica,4.4,"Relaxed,Happy,Euphoric,Uplifted,Sleepy"
270,Blue-Alien,indica,4.5,"Relaxed,Happy,Euphoric,Uplifted,Hungry"
271,Blue-Bastard,indica,3.8,"Euphoric,Happy,Sleepy,Uplifted,Creative"
272,Blue-Bayou,sativa,2.8,"Giggly,Uplifted,Creative,Happy,Sleepy"
273,Blue-Blood,indica,4.2,"Relaxed,Sleepy,Hungry,Talkative,Focused"
274,Blue-Boy,hybrid,4.1,"Happy,Relaxed,Giggly,Euphoric,Aroused"
275,Blue-Buddha,indica,4.9,"Relaxed,Euphoric,Sleepy,Uplifted,Happy"
276,Blue-Champange,hybrid,4.4,"Uplifted,Happy,Relaxed,Creative,Euphoric"
277,Blue-Cheese,indica,4.3,"Relaxed,Happy,Euphoric,Sleepy,Hungry"
278,Blue-Cinex,hybrid,4.7,"Focused,Uplifted,Happy,Energetic,Sleepy"
279,Blue-Cookies,hybrid,4.7,"Relaxed,Euphoric,Happy,Uplifted,Creative"
280,Blue-Crack,hybrid,4.2,"Happy,Relaxed,Uplifted,Energetic,Focused"
281,Blue-Diamond,indica,4.4,"Euphoric,Relaxed,Happy,Sleepy,Talkative"
282,Blue-Diesel,hybrid,4.4,"Relaxed,Euphoric,Uplifted,Happy,Creative"
283,Blue-Dot,sativa,4.7,"Energetic,Happy,Relaxed,Focused,Uplifted"
284,Blue-Dragon,hybrid,4.4,"Euphoric,Uplifted,Relaxed,Happy,Giggly"
285,Blue-Dream,hybrid,4.4,"Relaxed,Happy,Uplifted,Euphoric,Creative"
286,Blue-Dynamite,indica,4.3,"Relaxed,Euphoric,Focused,Creative,Sleepy"
287,Blue-Frost,hybrid,4.5,"Uplifted,Happy,Relaxed,Euphoric,Creative"
288,Blue-Galaxy,hybrid,4.7,"Relaxed,Happy,Talkative,Creative,Energetic"
289,Blue-God,indica,4.7,"Relaxed,Happy,Sleepy,Euphoric,Hungry"
290,Blue-Goo,hybrid,4.1,"Happy,Uplifted,Creative,Energetic,Talkative"
291,Blue-Hash,hybrid,4.4,"Relaxed,Happy,Euphoric,Sleepy,Uplifted"
292,Blue-Hawaiian,hybrid,4.3,"Happy,Uplifted,Relaxed,Euphoric,Energetic"
293,Blue-Haze,hybrid,4.3,"Uplifted,Euphoric,Relaxed,Happy,Energetic"
294,Blue-Heron,hybrid,4.7,"Relaxed,Sleepy,Talkative,Happy,Uplifted"
295,Blue-Ivy,hybrid,4.4,"Relaxed,Focused,Hungry,Happy,Talkative"
296,Blue-Jay-Way,hybrid,4.5,"Relaxed,Uplifted,Focused,Sleepy,Euphoric"
297,Blue-Kiss,hybrid,4.7,"Relaxed,Talkative,Creative,Euphoric,Focused"
298,Blue-Knight,indica,4.7,"Relaxed,Uplifted,Hungry,Happy,Focused"
299,Blue-Kripple,indica,3.4,"Sleepy,Euphoric,Hungry,Relaxed,Tingly"
300,Blue-Kush,hybrid,4.5,"Relaxed,Uplifted,Euphoric,Creative,Hungry"
301,Blue-Lights,indica,4.5,"Relaxed,Euphoric,Happy,Tingly,Uplifted"
302,Blue-Magic,sativa,4.6,"Relaxed,Focused,Aroused,Sleepy,Euphoric"
303,Blue-Magoo,hybrid,4.5,"Relaxed,Happy,Uplifted,Euphoric,Giggly"
304,Blue-Monster,indica,4.7,"Relaxed,Hungry,Talkative,Sleepy,Happy"
